"","action_taken","income","debt_income_ratio","age_above_62","ethnicity","race","sex","loan_amount","loan_type","loan_purpose","property_value","occupancy_type","conforming_loan_limit","preapproval","lien_status","has_co.applicant"
"1","Loan approved",5.35658627467201,"36%-42%","No","Not Hispanic or Latino","Black or African American","Male",4.31748811353631,"Conventional","Home improvement",6.48463523563525,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"2","Loan approved",4.82028156560504,"36%-42%","No","Not Hispanic or Latino","White","Female",4.00733318523247,"Conventional","Home improvement",5.78382518232974,"Investment property","C","Preapproval not requested","Secured by a subordinate lien","No"
"3","Loan denied",3.68887945411394,">60%","No","Not Hispanic or Latino","Black or African American","Male",5.27299955856375,"Conventional","Home improvement",6.09807428216624,"Investment property","C","Preapproval not requested","Secured by a subordinate lien","No"
"4","Loan approved",5.06575459331733,"Unknown","Yes","Not Hispanic or Latino","Black or African American","Female",5.61677109766657,"Conventional","Cash-out",6.22455842927536,"Investment property","C","Preapproval not requested","Secured by a first lien","No"
"5","Loan approved",5.19849703126583,"Unknown","No","Not Hispanic or Latino","Black or African American","Male",6.49978704065585,"Conventional","Refinancing",6.80793494369993,"Investment property","C","Preapproval not requested","Secured by a first lien","No"
"6","Loan approved",5.19849703126583,"Unknown","No","Not Hispanic or Latino","Black or African American","Male",6.48463523563525,"Conventional","Refinancing",6.80793494369993,"Investment property","C","Preapproval not requested","Secured by a first lien","No"
"7","Loan approved",5.63121178182137,"Unknown","No","Not Hispanic or Latino","White","Male",6.31896811374643,"Conventional","Refinancing",7.05185562295589,"Investment property","C","Preapproval not requested","Secured by a first lien","No"
"8","Loan approved",5.19849703126583,"Unknown","No","Unknwon","Other","Female",6.37161184723186,"Conventional","Refinancing",6.66568371778241,"Investment property","C","Preapproval not requested","Secured by a first lien","No"
"9","Loan approved",4.36944785246702,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",5.61677109766657,"Conventional","Home purchase",6.14203740558736,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"10","Loan approved",3.76120011569356,"43%-49%","No","Not Hispanic or Latino","Black or African American","Male",4.90527477843843,"Conventional","Home purchase",5.81413053182507,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"11","Loan approved",4.43081679884331,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",5.68697535633982,"Conventional","Home purchase",5.92692602597041,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"12","Loan approved",4.51085950651685,"30%-35%","No","Not Hispanic or Latino","Black or African American","Male",5.72031177660741,"Conventional","Home purchase",5.92692602597041,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"13","Loan approved",4.21950770517611,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",5.50125821054473,"Conventional","Home purchase",6.05208916892442,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"14","Loan denied",5.37527840768417,"50%-60%","No","Not Hispanic or Latino","White","Female",7.09423484592476,"Conventional","Cash-out",7.58832367733522,"Principal residence","NC","Preapproval not requested","Secured by a first lien","No"
"15","Loan approved",5.85507192220243,"20%-29%","No","Not Hispanic or Latino","Other","Male",6.67834211465433,"Conventional","Home purchase",6.94215670569947,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"16","Loan denied",4.93447393313069,"43%-49%","No","Not Hispanic or Latino","Other","Male",6.35437004079735,"Conventional","Home purchase",6.40522845803084,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"17","Loan approved",4.11087386417331,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",5.61677109766657,"Conventional","Home purchase",6.00388706710654,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"18","Loan denied",4.57471097850338,"43%-49%","No","Unknwon","Black or African American","Female",6.12029741895095,"Conventional","Home purchase",6.37161184723186,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"19","Loan approved",4.53259949315326,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",5.72031177660741,"Conventional","Home purchase",6.16331480403464,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"20","Loan denied",5.0998664278242,"43%-49%","No","Not Hispanic or Latino","Black or African American","Male",6.72743172485086,"Conventional","Home purchase",6.89264164117209,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"21","Loan approved",4.29045944114839,"30%-35%","No","Not Hispanic or Latino","Black or African American","Female",5.65248918026865,"Conventional","Home purchase",6.0282785202307,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"22","Loan approved",4.88280192258637,"43%-49%","No","Hispanic or Latino","Other","Female",6.05208916892442,"Conventional","Home purchase",6.28226674689601,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"23","Loan denied",4.35670882668959,"43%-49%","No","Not Hispanic or Latino","Black or African American","Male",5.65248918026865,"Conventional","Home purchase",6.07534603108868,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"24","Loan approved",3.93182563272433,"43%-49%","No","Unknwon","Other","Female",5.04342511691925,"Conventional","Home purchase",5.50125821054473,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"25","Loan approved",6.57368016696065,"20%-29%","No","Not Hispanic or Latino","White","Female",5.22035582507832,"Conventional","Home purchase",5.61677109766657,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"26","Loan approved",5.07517381523383,"43%-49%","No","Not Hispanic or Latino","White","Female",6.46925031679577,"Conventional","Home purchase",6.88243747099785,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"27","Loan denied",4.14313472639153,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",5.57972982598622,"Conventional","Home purchase",6.00388706710654,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"28","Loan approved",4.99043258677874,"20%-29%","No","Not Hispanic or Latino","Black or African American","Female",5.04342511691925,"Conventional","Home purchase",5.10594547390058,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"29","Loan approved",4.23410650459726,"20%-29%","Yes","Not Hispanic or Latino","Black or African American","Female",4.44265125649032,"FHA","Home purchase",4.44265125649032,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"30","Loan approved",4.57471097850338,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",5.72031177660741,"Conventional","Home purchase",6.09807428216624,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"31","Loan approved",4.39444915467244,"43%-49%","No","Hispanic or Latino","White","Female",5.32300997913841,"Conventional","Home purchase",5.72031177660741,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"32","Loan denied",4.51085950651685,"30%-35%","No","Not Hispanic or Latino","Black or African American","Female",5.78382518232974,"Conventional","Home purchase",6.0282785202307,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"33","Loan approved",4.44265125649032,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",5.54126354515843,"FHA","Home purchase",6.00388706710654,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"34","Loan approved",4.60517018598809,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",5.97888576490112,"Conventional","Home purchase",6.18414889093748,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"35","Loan approved",3.87120101090789,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",4.8283137373023,"Conventional","Home purchase",5.81413053182507,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"36","Loan approved",4.31748811353631,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",5.81413053182507,"Conventional","Home purchase",6.16331480403464,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"37","Loan denied",3.76120011569356,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",4.31748811353631,"Conventional","Home purchase",5.10594547390058,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"38","Loan approved",4.43081679884331,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",5.87211778947542,"Conventional","Home purchase",6.22455842927536,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"39","Loan denied",4.69134788222914,"50%-60%","No","Not Hispanic or Latino","Black or African American","Female",6.40522845803084,"Conventional","Home purchase",6.51471269087253,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"40","Loan approved",4.07753744390572,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",5.41610040220442,"FHA","Home purchase",6.05208916892442,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"41","Loan approved",4.74493212836325,"36%-42%","No","Not Hispanic or Latino","White","Female",6.20455776256869,"Conventional","Home purchase",6.59987049921284,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"42","Loan approved",5.52545293913178,"20%-29%","No","Not Hispanic or Latino","White","Female",6.35437004079735,"Conventional","Home purchase",6.75110146893676,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"43","Loan approved",4.35670882668959,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",5.68697535633982,"Conventional","Home purchase",6.16331480403464,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"44","Loan approved",5.18738580584075,"36%-42%","No","Not Hispanic or Latino","Black or African American","Male",6.40522845803084,"Conventional","Home purchase",6.4377516497364,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"45","Loan approved",4.91265488573605,"36%-42%","No","Hispanic or Latino","Other","Male",5.22035582507832,"Conventional","Home purchase",5.45958551414416,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"46","Loan approved",3.36729582998647,"36%-42%","No","Not Hispanic or Latino","White","Female",4.65396035015752,"Conventional","Home purchase",5.81413053182507,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"47","Loan denied",4.57471097850338,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",5.87211778947542,"FHA","Home purchase",6.14203740558736,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"48","Loan approved",4.79579054559674,"30%-35%","No","Not Hispanic or Latino","White","Male",6.12029741895095,"Conventional","Home purchase",6.28226674689601,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"49","Loan denied",4.26267987704132,"30%-35%","Yes","Not Hispanic or Latino","Black or African American","Female",5.41610040220442,"Conventional","Cash-out",6.58617165485467,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
