"","debt_income_ratio",".class",".value",".type"
"1","Unknown","Loan approved",0.604348122826492,"pdp"
"2","Unknown","Loan denied",0.395651877173508,"pdp"
"3","43%-49%","Loan approved",0.820652226901829,"pdp"
"4","43%-49%","Loan denied",0.179347773098172,"pdp"
"5","20%-29%","Loan approved",0.83166026360034,"pdp"
"6","20%-29%","Loan denied",0.168339736399661,"pdp"
"7","36%-42%","Loan approved",0.839439032537877,"pdp"
"8","36%-42%","Loan denied",0.16056096746212,"pdp"
"9","30%-35%","Loan approved",0.836119601179424,"pdp"
"10","30%-35%","Loan denied",0.163880398820575,"pdp"
"11","<20%","Loan approved",0.713219113678252,"pdp"
"12","<20%","Loan denied",0.286780886321748,"pdp"
"13","50%-60%","Loan approved",0.606704691895738,"pdp"
"14","50%-60%","Loan denied",0.393295308104261,"pdp"
"15",">60%","Loan approved",0.204548187067639,"pdp"
"16",">60%","Loan denied",0.79545181293236,"pdp"
