"","income",".class",".value",".type","Model"
"1",0,"Loan approved",0.694944482548436,"pdp","Logistic Regression"
"2",0,"Loan denied",0.305055517451563,"pdp","Logistic Regression"
"3",0.617730352106746,"Loan approved",0.701535984579939,"pdp","Logistic Regression"
"4",0.617730352106746,"Loan denied",0.298464015420061,"pdp","Logistic Regression"
"5",1.23546070421349,"Loan approved",0.70803398020732,"pdp","Logistic Regression"
"6",1.23546070421349,"Loan denied",0.291966019792681,"pdp","Logistic Regression"
"7",1.85319105632024,"Loan approved",0.714437418000526,"pdp","Logistic Regression"
"8",1.85319105632024,"Loan denied",0.285562581999474,"pdp","Logistic Regression"
"9",2.47092140842698,"Loan approved",0.720745363874857,"pdp","Logistic Regression"
"10",2.47092140842698,"Loan denied",0.279254636125143,"pdp","Logistic Regression"
"11",3.08865176053373,"Loan approved",0.726956999727623,"pdp","Logistic Regression"
"12",3.08865176053373,"Loan denied",0.273043000272376,"pdp","Logistic Regression"
"13",3.70638211264047,"Loan approved",0.733071621958223,"pdp","Logistic Regression"
"14",3.70638211264047,"Loan denied",0.266928378041775,"pdp","Logistic Regression"
"15",4.32411246474722,"Loan approved",0.739088639870838,"pdp","Logistic Regression"
"16",4.32411246474722,"Loan denied",0.26091136012916,"pdp","Logistic Regression"
"17",4.94184281685397,"Loan approved",0.745007573959077,"pdp","Logistic Regression"
"18",4.94184281685397,"Loan denied",0.254992426040921,"pdp","Logistic Regression"
"19",5.55957316896071,"Loan approved",0.750828054072045,"pdp","Logistic Regression"
"20",5.55957316896071,"Loan denied",0.249171945927954,"pdp","Logistic Regression"
"21",6.17730352106746,"Loan approved",0.75654981746162,"pdp","Logistic Regression"
"22",6.17730352106746,"Loan denied",0.243450182538379,"pdp","Logistic Regression"
"23",6.7950338731742,"Loan approved",0.762172706711019,"pdp","Logistic Regression"
"24",6.7950338731742,"Loan denied",0.23782729328898,"pdp","Logistic Regression"
"25",7.41276422528095,"Loan approved",0.767696667545102,"pdp","Logistic Regression"
"26",7.41276422528095,"Loan denied",0.232303332454897,"pdp","Logistic Regression"
"27",8.03049457738769,"Loan approved",0.773121746523275,"pdp","Logistic Regression"
"28",8.03049457738769,"Loan denied",0.226878253476727,"pdp","Logistic Regression"
"29",8.64822492949444,"Loan approved",0.778448088616232,"pdp","Logistic Regression"
"30",8.64822492949444,"Loan denied",0.221551911383768,"pdp","Logistic Regression"
"31",9.26595528160119,"Loan approved",0.783675934668271,"pdp","Logistic Regression"
"32",9.26595528160119,"Loan denied",0.21632406533173,"pdp","Logistic Regression"
"33",9.88368563370793,"Loan approved",0.788805618747173,"pdp","Logistic Regression"
"34",9.88368563370793,"Loan denied",0.211194381252827,"pdp","Logistic Regression"
"35",10.5014159858147,"Loan approved",0.793837565384224,"pdp","Logistic Regression"
"36",10.5014159858147,"Loan denied",0.206162434615776,"pdp","Logistic Regression"
"37",11.1191463379214,"Loan approved",0.798772286707139,"pdp","Logistic Regression"
"38",11.1191463379214,"Loan denied",0.20122771329286,"pdp","Logistic Regression"
"39",11.7368766900282,"Loan approved",0.803610379469144,"pdp","Logistic Regression"
"40",11.7368766900282,"Loan denied",0.196389620530855,"pdp","Logistic Regression"
