"","loan_purpose",".class",".value",".type","Model"
"1","Cash-out","Loan approved",0.699632993231668,"pdp","Logistic Regression"
"2","Cash-out","Loan denied",0.300367006768333,"pdp","Logistic Regression"
"3","Refinancing","Loan approved",0.652717734721685,"pdp","Logistic Regression"
"4","Refinancing","Loan denied",0.347282265278315,"pdp","Logistic Regression"
"5","Home purchase","Loan approved",0.831071041745207,"pdp","Logistic Regression"
"6","Home purchase","Loan denied",0.168928958254793,"pdp","Logistic Regression"
"7","Other purpose","Loan approved",0.621398233234248,"pdp","Logistic Regression"
"8","Other purpose","Loan denied",0.378601766765753,"pdp","Logistic Regression"
"9","Home improvement","Loan approved",0.633008392549036,"pdp","Logistic Regression"
"10","Home improvement","Loan denied",0.366991607450963,"pdp","Logistic Regression"
