"","debt_income_ratio",".class",".value",".type"
"1","43%-49%","Loan approved",0.820186721379939,"pdp"
"2","43%-49%","Loan denied",0.179813278620062,"pdp"
"3","36%-42%","Loan approved",0.819731600939237,"pdp"
"4","36%-42%","Loan denied",0.180268399060763,"pdp"
"5","20%-29%","Loan approved",0.810380182766013,"pdp"
"6","20%-29%","Loan denied",0.189619817233989,"pdp"
"7","30%-35%","Loan approved",0.811447517246666,"pdp"
"8","30%-35%","Loan denied",0.188552482753333,"pdp"
"9","<20%","Loan approved",0.725845880572577,"pdp"
"10","<20%","Loan denied",0.274154119427422,"pdp"
"11","50%-60%","Loan approved",0.648622454537303,"pdp"
"12","50%-60%","Loan denied",0.351377545462697,"pdp"
"13",">60%","Loan approved",0.00830279747383331,"pdp"
"14",">60%","Loan denied",0.991697202526165,"pdp"
"15","Unknown","Loan approved",0.426675308758015,"pdp"
"16","Unknown","Loan denied",0.573324691241984,"pdp"
