"","loan_purpose",".class",".value",".type","Model"
"1","Home purchase","Loan approved",0.777085724359258,"pdp","Linear SVM"
"2","Home purchase","Loan denied",0.222914275640743,"pdp","Linear SVM"
"3","Cash-out","Loan approved",0.747537357718018,"pdp","Linear SVM"
"4","Cash-out","Loan denied",0.252462642281982,"pdp","Linear SVM"
"5","Refinancing","Loan approved",0.702754253676005,"pdp","Linear SVM"
"6","Refinancing","Loan denied",0.297245746323994,"pdp","Linear SVM"
"7","Home improvement","Loan approved",0.643658083651967,"pdp","Linear SVM"
"8","Home improvement","Loan denied",0.356341916348033,"pdp","Linear SVM"
"9","Other purpose","Loan approved",0.598338212753482,"pdp","Linear SVM"
"10","Other purpose","Loan denied",0.401661787246517,"pdp","Linear SVM"
