"","debt_income_ratio",".class",".value",".type"
"1","43%-49%","Loan approved",0.822483271923393,"pdp"
"2","43%-49%","Loan denied",0.177516728076608,"pdp"
"3","36%-42%","Loan approved",0.819056242219055,"pdp"
"4","36%-42%","Loan denied",0.180943757780945,"pdp"
"5","20%-29%","Loan approved",0.813563139020272,"pdp"
"6","20%-29%","Loan denied",0.186436860979727,"pdp"
"7","30%-35%","Loan approved",0.819452049757075,"pdp"
"8","30%-35%","Loan denied",0.180547950242927,"pdp"
"9","<20%","Loan approved",0.734498181403383,"pdp"
"10","<20%","Loan denied",0.26550181859662,"pdp"
"11","50%-60%","Loan approved",0.516351310457597,"pdp"
"12","50%-60%","Loan denied",0.483648689542403,"pdp"
"13",">60%","Loan approved",0.0429404896687567,"pdp"
"14",">60%","Loan denied",0.957059510331243,"pdp"
"15","Unknown","Loan approved",0.282896920815178,"pdp"
"16","Unknown","Loan denied",0.717103079184823,"pdp"
