"","income",".class",".value",".type","Model"
"1",0,"Loan approved",0.444888116418946,"pdp","Non-Linear SVM"
"2",0,"Loan denied",0.555111883581052,"pdp","Non-Linear SVM"
"3",0.522327427311739,"Loan approved",0.47056306703358,"pdp","Non-Linear SVM"
"4",0.522327427311739,"Loan denied",0.52943693296642,"pdp","Non-Linear SVM"
"5",1.04465485462348,"Loan approved",0.500805568237722,"pdp","Non-Linear SVM"
"6",1.04465485462348,"Loan denied",0.499194431762278,"pdp","Non-Linear SVM"
"7",1.56698228193522,"Loan approved",0.534338593989203,"pdp","Non-Linear SVM"
"8",1.56698228193522,"Loan denied",0.465661406010797,"pdp","Non-Linear SVM"
"9",2.08930970924695,"Loan approved",0.569521303754564,"pdp","Non-Linear SVM"
"10",2.08930970924695,"Loan denied",0.430478696245436,"pdp","Non-Linear SVM"
"11",2.61163713655869,"Loan approved",0.604596338134871,"pdp","Non-Linear SVM"
"12",2.61163713655869,"Loan denied",0.395403661865127,"pdp","Non-Linear SVM"
"13",3.13396456387043,"Loan approved",0.637971511421451,"pdp","Non-Linear SVM"
"14",3.13396456387043,"Loan denied",0.362028488578549,"pdp","Non-Linear SVM"
"15",3.65629199118217,"Loan approved",0.668424559573831,"pdp","Non-Linear SVM"
"16",3.65629199118217,"Loan denied",0.331575440426169,"pdp","Non-Linear SVM"
"17",4.17861941849391,"Loan approved",0.695176393477461,"pdp","Non-Linear SVM"
"18",4.17861941849391,"Loan denied",0.304823606522536,"pdp","Non-Linear SVM"
"19",4.70094684580565,"Loan approved",0.717853725565501,"pdp","Non-Linear SVM"
"20",4.70094684580565,"Loan denied",0.282146274434498,"pdp","Non-Linear SVM"
"21",5.22327427311739,"Loan approved",0.736393647339519,"pdp","Non-Linear SVM"
"22",5.22327427311739,"Loan denied",0.26360635266048,"pdp","Non-Linear SVM"
"23",5.74560170042913,"Loan approved",0.750931874101037,"pdp","Non-Linear SVM"
"24",5.74560170042913,"Loan denied",0.249068125898964,"pdp","Non-Linear SVM"
"25",6.26792912774086,"Loan approved",0.761697585812323,"pdp","Non-Linear SVM"
"26",6.26792912774086,"Loan denied",0.238302414187677,"pdp","Non-Linear SVM"
"27",6.7902565550526,"Loan approved",0.768928391387096,"pdp","Non-Linear SVM"
"28",6.7902565550526,"Loan denied",0.231071608612904,"pdp","Non-Linear SVM"
"29",7.31258398236434,"Loan approved",0.772814754954813,"pdp","Non-Linear SVM"
"30",7.31258398236434,"Loan denied",0.227185245045187,"pdp","Non-Linear SVM"
"31",7.83491140967608,"Loan approved",0.773478342207835,"pdp","Non-Linear SVM"
"32",7.83491140967608,"Loan denied",0.226521657792167,"pdp","Non-Linear SVM"
"33",8.35723883698782,"Loan approved",0.770983074927625,"pdp","Non-Linear SVM"
"34",8.35723883698782,"Loan denied",0.229016925072376,"pdp","Non-Linear SVM"
"35",8.87956626429956,"Loan approved",0.765372628147909,"pdp","Non-Linear SVM"
"36",8.87956626429956,"Loan denied",0.23462737185209,"pdp","Non-Linear SVM"
"37",9.4018936916113,"Loan approved",0.756723357009933,"pdp","Non-Linear SVM"
"38",9.4018936916113,"Loan denied",0.243276642990066,"pdp","Non-Linear SVM"
"39",9.92422111892303,"Loan approved",0.745196947104963,"pdp","Non-Linear SVM"
"40",9.92422111892303,"Loan denied",0.254803052895036,"pdp","Non-Linear SVM"
