"","loan_purpose",".class",".value",".type","Model"
"1","Home purchase","Loan approved",0.761499776744283,"pdp","Non-Linear SVM"
"2","Home purchase","Loan denied",0.238500223255716,"pdp","Non-Linear SVM"
"3","Cash-out","Loan approved",0.750944355744824,"pdp","Non-Linear SVM"
"4","Cash-out","Loan denied",0.249055644255177,"pdp","Non-Linear SVM"
"5","Refinancing","Loan approved",0.716800566892083,"pdp","Non-Linear SVM"
"6","Refinancing","Loan denied",0.283199433107916,"pdp","Non-Linear SVM"
"7","Home improvement","Loan approved",0.644829544355978,"pdp","Non-Linear SVM"
"8","Home improvement","Loan denied",0.355170455644022,"pdp","Non-Linear SVM"
"9","Other purpose","Loan approved",0.629739954088151,"pdp","Non-Linear SVM"
"10","Other purpose","Loan denied",0.370260045911847,"pdp","Non-Linear SVM"
