"","debt_income_ratio",".class",".value",".type","Model"
"1","43%-49%","Loan approved",0.801586407843018,"pdp","Random Forest"
"2","43%-49%","Loan denied",0.198413592156983,"pdp","Random Forest"
"3","36%-42%","Loan approved",0.815030236893615,"pdp","Random Forest"
"4","36%-42%","Loan denied",0.184969763106384,"pdp","Random Forest"
"5","20%-29%","Loan approved",0.802012668573221,"pdp","Random Forest"
"6","20%-29%","Loan denied",0.197987331426778,"pdp","Random Forest"
"7","30%-35%","Loan approved",0.812939938412416,"pdp","Random Forest"
"8","30%-35%","Loan denied",0.187060061587584,"pdp","Random Forest"
"9","<20%","Loan approved",0.752664210407148,"pdp","Random Forest"
"10","<20%","Loan denied",0.247335789592852,"pdp","Random Forest"
"11","50%-60%","Loan approved",0.470690016994415,"pdp","Random Forest"
"12","50%-60%","Loan denied",0.529309983005585,"pdp","Random Forest"
"13",">60%","Loan approved",0.18290038064886,"pdp","Random Forest"
"14",">60%","Loan denied",0.817099619351139,"pdp","Random Forest"
"15","Unknown","Loan approved",0.343705983937225,"pdp","Random Forest"
"16","Unknown","Loan denied",0.656294016062775,"pdp","Random Forest"
