"","loan_purpose",".class",".value",".type"
"1","Home purchase","Loan approved",0.766621126062869,"pdp"
"2","Home purchase","Loan denied",0.233378873937132,"pdp"
"3","Cash-out","Loan approved",0.651195211170471,"pdp"
"4","Cash-out","Loan denied",0.348804788829529,"pdp"
"5","Refinancing","Loan approved",0.627681455481323,"pdp"
"6","Refinancing","Loan denied",0.372318544518678,"pdp"
"7","Home improvement","Loan approved",0.613268836710276,"pdp"
"8","Home improvement","Loan denied",0.386731163289723,"pdp"
"9","Other purpose","Loan approved",0.616250257897493,"pdp"
"10","Other purpose","Loan denied",0.383749742102509,"pdp"
