"","loan_purpose",".class",".value",".type","Model"
"1","Cash-out","Loan approved",0.636215938987642,"pdp","Classification"
"2","Cash-out","Loan denied",0.363784061012325,"pdp","Classification"
"3","Refinancing","Loan approved",0.626798816020304,"pdp","Classification"
"4","Refinancing","Loan denied",0.373201183979666,"pdp","Classification"
"5","Home purchase","Loan approved",0.812705827191513,"pdp","Classification"
"6","Home purchase","Loan denied",0.187294172808484,"pdp","Classification"
"7","Home improvement","Loan approved",0.626798816020305,"pdp","Classification"
"8","Home improvement","Loan denied",0.373201183979666,"pdp","Classification"
"9","Other purpose","Loan approved",0.626798816020303,"pdp","Classification"
"10","Other purpose","Loan denied",0.373201183979666,"pdp","Classification"
