"","feature","importance","type"
"age_above_62","age_above_62",0.0104975260707173,"LOCI"
"conforming_loan_limit","conforming_loan_limit",0.00288613788300163,"LOCI"
"debt_income_ratio","debt_income_ratio",0.127269935136532,"LOCI"
"ethnicity","ethnicity",0.00146295848662259,"LOCI"
"has_co.applicant","has_co.applicant",0.0161416034612726,"LOCI"
"income","income",0.0287110566482138,"LOCI"
"lien_status","lien_status",0.0448070166940839,"LOCI"
"loan_amount","loan_amount",0.0613302960388626,"LOCI"
"loan_purpose","loan_purpose",0.0942499452547896,"LOCI"
"loan_type","loan_type",0.00246980544582109,"LOCI"
"occupancy_type","occupancy_type",0.00234950295664227,"LOCI"
"preapproval","preapproval",0.0121652179487511,"LOCI"
"property_value","property_value",0.00367048352847632,"LOCI"
"race","race",0.0270431865040112,"LOCI"
"sex","sex",0.000895258870305171,"LOCI"
