"","feature","importance","type"
"applicant_age_above_62","applicant_age_above_62",-0.00041996467076244,"LOCO"
"applicant_ethnicity","applicant_ethnicity",-0.000588303895403541,"LOCO"
"applicant_race","applicant_race",0.0027404916258853,"LOCO"
"applicant_sex","applicant_sex",0.000718660469226196,"LOCO"
"conforming_loan_limit","conforming_loan_limit",0.00218385466202142,"LOCO"
"debt_to_income_ratio","debt_to_income_ratio",0.0641956751550465,"LOCO"
"has_co.applicant","has_co.applicant",0.00227660002784102,"LOCO"
"income_log","income_log",-0.00173414577681119,"LOCO"
"lien_status","lien_status",-0.00193973488065036,"LOCO"
"loan_amount_log","loan_amount_log",7.32804638914342e-06,"LOCO"
"loan_purpose","loan_purpose",0.0117802332536743,"LOCO"
"loan_type","loan_type",-0.000382532679432668,"LOCO"
"occupancy_type","occupancy_type",0.00151939377166055,"LOCO"
"preapproval","preapproval",0.00135707097313104,"LOCO"
"property_value_log","property_value_log",0.00166974583522278,"LOCO"
