"","feature","importance","type"
"applicant_age_above_62","applicant_age_above_62",0.00276442993832593,"LOCO"
"applicant_ethnicity","applicant_ethnicity",0.00198949389590591,"LOCO"
"applicant_race","applicant_race",0.00406076944008149,"LOCO"
"applicant_sex","applicant_sex",-0.00294478707848744,"LOCO"
"conforming_loan_limit","conforming_loan_limit",-0.000345684137849911,"LOCO"
"debt_to_income_ratio","debt_to_income_ratio",-0.0121405970657719,"LOCO"
"has_co.applicant","has_co.applicant",0.00197974069317031,"LOCO"
"income_log","income_log",0.000209267171306537,"LOCO"
"lien_status","lien_status",0.000903998630448155,"LOCO"
"loan_amount_log","loan_amount_log",-0.000109462913085279,"LOCO"
"loan_purpose","loan_purpose",0.00120083250907299,"LOCO"
"loan_type","loan_type",0.0176144288574228,"LOCO"
"occupancy_type","occupancy_type",0.00271320110885098,"LOCO"
"preapproval","preapproval",0.00693564766950683,"LOCO"
"property_value_log","property_value_log",0.0011844866269019,"LOCO"
