"","feature","importance","type"
"age_above_62","age_above_62",0.0108388714971557,"LOCI"
"conforming_loan_limit","conforming_loan_limit",0.000603917389370712,"LOCI"
"debt_income_ratio","debt_income_ratio",0.101466361421862,"LOCI"
"ethnicity","ethnicity",0.000534019764701466,"LOCI"
"has_co.applicant","has_co.applicant",0.0171040074278251,"LOCI"
"income","income",0.0279403420832161,"LOCI"
"lien_status","lien_status",0.0399936746883186,"LOCI"
"loan_amount","loan_amount",0.0578694807753023,"LOCI"
"loan_purpose","loan_purpose",0.0504151852136767,"LOCI"
"loan_type","loan_type",0.00266477136662446,"LOCI"
"occupancy_type","occupancy_type",0.00123642483371045,"LOCI"
"preapproval","preapproval",0.0125186455527176,"LOCI"
"property_value","property_value",0.00217677565823182,"LOCI"
"race","race",0.0010856165712918,"LOCI"
"sex","sex",0.000753248948244245,"LOCI"
