"","feature","importance","type"
"age_above_62","age_above_62",-0.00154703024708625,"LOCO"
"conforming_loan_limit","conforming_loan_limit",-0.00169755058509136,"LOCO"
"debt_income_ratio","debt_income_ratio",0.0569981118756575,"LOCO"
"ethnicity","ethnicity",0.00188438357119958,"LOCO"
"has_co.applicant","has_co.applicant",0.00115667066298064,"LOCO"
"income","income",0.00160453707386449,"LOCO"
"lien_status","lien_status",0.00124742519723431,"LOCO"
"loan_amount","loan_amount",0.00381085512759183,"LOCO"
"loan_purpose","loan_purpose",0.0195264431075687,"LOCO"
"loan_type","loan_type",0.000499243774584324,"LOCO"
"occupancy_type","occupancy_type",0.00176955627806208,"LOCO"
"preapproval","preapproval",0.00190382992027649,"LOCO"
"property_value","property_value",0.00168392944514095,"LOCO"
"race","race",0.00574004925067723,"LOCO"
"sex","sex",0.00111990937213374,"LOCO"
