"","feature","importance","type"
"age_above_62","age_above_62",0.010945190881918,"LOCI"
"conforming_loan_limit","conforming_loan_limit",0.00295491112513113,"LOCI"
"debt_income_ratio","debt_income_ratio",0.12588095100413,"LOCI"
"ethnicity","ethnicity",0.00153775478306339,"LOCI"
"has_co.applicant","has_co.applicant",0.017019401430485,"LOCI"
"income","income",0.00285265631464571,"LOCI"
"lien_status","lien_status",0.0448369678408883,"LOCI"
"loan_amount","loan_amount",0.0465693139755832,"LOCI"
"loan_purpose","loan_purpose",0.0925242527652693,"LOCI"
"loan_type","loan_type",0.00244291461838309,"LOCI"
"occupancy_type","occupancy_type",0.00213953810090428,"LOCI"
"preapproval","preapproval",0.012011568582601,"LOCI"
"property_value","property_value",0.0206939278211486,"LOCI"
"race","race",0.0264802906088538,"LOCI"
"sex","sex",0.000980216842218495,"LOCI"
