"","feature","importance","type"
"applicant_age_above_62","applicant_age_above_62",-0.00110697680118116,"LOCO"
"applicant_ethnicity","applicant_ethnicity",-0.0005392290639743,"LOCO"
"applicant_race","applicant_race",0.00195529419909651,"LOCO"
"applicant_sex","applicant_sex",0.000716264396439681,"LOCO"
"conforming_loan_limit","conforming_loan_limit",0.000229630120801072,"LOCO"
"debt_to_income_ratio","debt_to_income_ratio",0.0538957133347521,"LOCO"
"has_co.applicant","has_co.applicant",0.00122912560076532,"LOCO"
"income_log","income_log",0.00388592403538673,"LOCO"
"lien_status","lien_status",-0.000266742091229788,"LOCO"
"loan_amount_log","loan_amount_log",0.00311828934231917,"LOCO"
"loan_purpose","loan_purpose",0.0101380530686042,"LOCO"
"loan_type","loan_type",0.00148980678934929,"LOCO"
"occupancy_type","occupancy_type",0.000393177353131213,"LOCO"
"preapproval","preapproval",-0.000340834043694338,"LOCO"
"property_value_log","property_value_log",0.00296397383927383,"LOCO"
