"","feature","importance","type"
"age_above_62","age_above_62",0,"LOCI"
"conforming_loan_limit","conforming_loan_limit",0,"LOCI"
"debt_income_ratio","debt_income_ratio",0.116223267535474,"LOCI"
"ethnicity","ethnicity",0,"LOCI"
"has_co.applicant","has_co.applicant",0,"LOCI"
"income","income",0.0230823398296969,"LOCI"
"lien_status","lien_status",0,"LOCI"
"loan_amount","loan_amount",0.050618295836658,"LOCI"
"loan_purpose","loan_purpose",0.0923842219842149,"LOCI"
"loan_type","loan_type",0,"LOCI"
"occupancy_type","occupancy_type",0,"LOCI"
"preapproval","preapproval",0,"LOCI"
"property_value","property_value",0.0239889510593709,"LOCI"
"race","race",0,"LOCI"
"sex","sex",0,"LOCI"
