"","feature","importance","type"
"applicant_age_above_62","applicant_age_above_62",-0.000204291010673541,"LOCO"
"applicant_ethnicity","applicant_ethnicity",-0.000358849432123387,"LOCO"
"applicant_race","applicant_race",0.00497356107613312,"LOCO"
"applicant_sex","applicant_sex",0.00123992116657573,"LOCO"
"conforming_loan_limit","conforming_loan_limit",0.00446277873170248,"LOCO"
"debt_to_income_ratio","debt_to_income_ratio",0.0704504845158172,"LOCO"
"has_co.applicant","has_co.applicant",0.000920171826530425,"LOCO"
"income_log","income_log",0.00220678393732571,"LOCO"
"lien_status","lien_status",0.00206477439727565,"LOCO"
"loan_amount_log","loan_amount_log",0.00265377317248028,"LOCO"
"loan_purpose","loan_purpose",0.0202024363679038,"LOCO"
"loan_type","loan_type",0.00479563925574622,"LOCO"
"occupancy_type","occupancy_type",0.00144642937896927,"LOCO"
"preapproval","preapproval",-0.00215301116777472,"LOCO"
"property_value_log","property_value_log",0.000681820369040576,"LOCO"
